x_image_thumb,y_image_thumb
6624.750000000001,2041.975
1631.080268485195,1812.2160087743607
1621.3439748904773,1797.2553625190628
1606.6207992106604,1774.3394519851545
1595.3409468753168,1756.5291588240857
1588.8105060495916,1746.6741299416276
1577.8868595774693,1728.9825720682993
1566.6070072421257,1709.6287201666046
1551.5276256990876,1685.2879861798106
1542.6224791185532,1670.8022810754744
1535.2608912786445,1657.7413994240242
1526.593215273591,1643.2556943196882
1517.8068039807972,1628.0575774889094
1509.1391279757438,1613.928078247795
1496.4344521875146,1594.9304322093217
