x_image_thumb,y_image_thumb
5538.875000000001,1060.2250000000004
1740.7213476020631,2075.7880025515824
1683.944724768142,2119.37409684833
1628.315104415714,2164.967445487691
1582.1482545356062,2203.105277997345
1542.289918303712,2236.9418512013995
1509.6003475811513,2264.7566613776135
1485.5132954697906,2287.1232097667344
1460.56599149731,2309.2030075354814
1431.8909294599762,2335.8708152302024
1409.811131691229,2356.2301092767093
1379.7023165520284,2383.75816883255
1353.6080100980544,2408.9922234254036
