x_image_thumb,y_image_thumb
4748.61,4804.82
4843.74,4734.21
4591.69,4711.81
4757.32,4637.73
4368.59,4617.14
5024.04,4348.66
4741.76,4286.96
5249.85,4189.83
4690.82,4142.86
4369.05,4115.4400000000005
3231.04,4098.17
2599.01,4046.98
5151.18,3921.69
4474.13,3919.82
4207.96,3902.84
2497.45,3886.2200000000003
5345.44,3857.81
5241.24,3746.21
5163.32,3511.6800000000003
4399.58,3480.35
4475.12,3310.4300000000003
3644.68,3280.3900000000003
2360.13,3229.77
4561.72,3104.29
2946.28,3085.34
3121.87,3035.51
4955.22,3007.9300000000003
5407.02,2989.31
4593.75,2977.76
4682.85,2960.75
4670.71,2947.2
5146.28,2887.83
5470.2,2878.3199999999997
5283.33,2872.04
5218.81,2862.23
5492.2,2768.06
4413.74,2743.67
3135.73,2726.47
6040.62,2678.96
4478.47,2615.78
2681.43,2589.16
1808.22,2539.79
4214.0,2541.12
4474.82,2470.25
4287.27,2446.06
5111.21,2383.79
5420.42,2338.79
4222.29,2265.71
5691.84,2198.79
3096.06,2067.72
6082.17,1949.83
3197.28,1729.4699999999998
5049.84,1636.17
5170.11,1383.5300000000002
5354.54,1363.33
4028.45,1304.23
4071.04,1255.48
4070.21,1251.6100000000001
3093.26,1240.1399999999999
5787.87,1193.4
4417.25,1193.5100000000002
1773.55,1189.04
4417.25,1189.71
2401.74,1104.48
5708.65,750.4399999999996
2439.13,619.1300000000001
3639.34,435.6899999999996
4702.67,347.0100000000002
4158.02,67.47000000000025
4158.23,61.07999999999993
