x_image_thumb,y_image_thumb
790.0,-8.0
890.0,-8.0
990.0,-8.0
1090.0,-8.0
1190.0,-8.0
1290.0,-8.0
1390.0,-8.0
1490.0,-8.0
1590.0,-8.0
1690.0,-8.0
1790.0,-8.0
1890.0,-8.0
1990.0,-8.0
2090.0,-8.0
2190.0,-8.0
2290.0,-8.0
2390.0,-8.0
2490.0,-8.0
2590.0,-8.0
2690.0,-8.0
2790.0,-8.0
2890.0,-8.0
2990.0,-8.0
3090.0,-8.0
3190.0,-8.0
3290.0,-8.0
3390.0,-8.0
3490.0,-8.0
3590.0,-8.0
3690.0,-8.0
3790.0,-8.0
3890.0,-8.0
3990.0,-8.0
4090.0,-8.0
4190.0,-8.0
4290.0,-8.0
4390.0,-8.0
4490.0,-8.0
4590.0,-8.0
4690.0,-8.0
4790.0,-8.0
4890.0,-8.0
4990.0,-8.0
5090.0,-8.0
5190.0,-8.0
5290.0,-8.0
5390.0,-8.0
5490.0,-8.0
5590.0,-8.0
5690.0,-8.0
5790.0,-8.0
5890.0,-8.0
5990.0,-8.0
6090.0,-8.0
6190.0,-8.0
6290.0,-8.0
6390.0,-8.0
2343.051539107372,-7.926156343676141
2343.051539107372,4919.0
2343.051539107372,4919.0
790.0,4919.0
890.0,4919.0
990.0,4919.0
1090.0,4919.0
1190.0,4919.0
1290.0,4919.0
1390.0,4919.0
1490.0,4919.0
1590.0,4919.0
1690.0,4919.0
1790.0,4919.0
1890.0,4919.0
1990.0,4919.0
2090.0,4919.0
2190.0,4919.0
2290.0,4919.0
2390.0,4919.0
2490.0,4919.0
2590.0,4919.0
2690.0,4919.0
2790.0,4919.0
2890.0,4919.0
2990.0,4919.0
3090.0,4919.0
3190.0,4919.0
3290.0,4919.0
3390.0,4919.0
3490.0,4919.0
3590.0,4919.0
3690.0,4919.0
3790.0,4919.0
3890.0,4919.0
3990.0,4919.0
4090.0,4919.0
4190.0,4919.0
4290.0,4919.0
4390.0,4919.0
4490.0,4919.0
4590.0,4919.0
4690.0,4919.0
4790.0,4919.0
4890.0,4919.0
4990.0,4919.0
5090.0,4919.0
5190.0,4919.0
5290.0,4919.0
5390.0,4919.0
5490.0,4919.0
5590.0,4919.0
5690.0,4919.0
5790.0,4919.0
5890.0,4919.0
5990.0,4919.0
6090.0,4919.0
6190.0,4919.0
6290.0,4919.0
6390.0,4919.0
